code,stop_name,street_name,lat,lng,route
KL599,KL599 TAMAN IMPIAN,JLN SULTAN AZLAN SHAH,3.200533,101.677558,151;173
KL600,KL600 BATU KENTOMEN,JLN SULTAN AZLAN SHAH,3.197445,101.679383,151;173
KL601,KL601 TAMAN RAINBOW,JLN SULTAN AZLAN SHAH,3.194458,101.679934,151;173;T119
KL602,KL602 TAMAN KAYA,JLN SULTAN AZLAN SHAH,3.191318,101.680711,151;173;T119
KL1578,KL1578 MRT JALAN IPOH PINTU B,JLN SULTAN AZLAN SHAH,3.189311,101.681467,151;T119
KL603,KL603 SMK (P) JLN IPOH (OPP),JLN SULTAN AZLAN SHAH,3.187823,101.682087,151;173;T119
KL604,KL604 BATU COMPLEX BUSINESS CENTRE,JLN SULTAN AZLAN SHAH,3.184283,101.681568,151;T119
KL605,KL605 TAMAN MILLION,JLN SULTAN AZLAN SHAH,3.182668,101.681709,151;173;190;191;T119;T180
KL606,KL606 RIVERWALK VILLAGE,JLN SULTAN AZLAN SHAH,3.180072,101.683532,151;173;190;191;T180
KL607,KL607 MRT SENTUL BARAT PINTU C,JLN SULTAN AZLAN SHAH,3.179103,101.684876,151;T180
KL608,KL608 HOTEL TROPICANA,JLN SULTAN AZLAN SHAH,3.176957,101.687597,151;173;190;191
KL609,KL609 SMK SENTUL UTAMA,JLN SULTAN AZLAN SHAH,3.174777,101.690071,151;173;190;191
KL2249,KL2249 PERKIM,JLN SULTAN AZLAN SHAH,3.171261,101.693485,151;171;173;180;190;191;254;302;402
KL50,KL50 DAMAI HOSPITAL,JLN SULTAN AZLAN SHAH,3.169987,101.695148,151;171;173;180;190;191;254;302;402
KL52,KL52 MONORAIL CHOWKIT,JLN SULTAN AZLAN SHAH,3.167932,101.697641,151;173;180;190;191;200;202;220;250;251;254;302;402
KL69,KL69 PASAR CHOW KIT,JLN TAR,3.164907581,101.6983821,151;171;173;180;190;200;202;220;250
KL70,KL70 SRI AMAR,JLN TAR,3.162104568,101.6979986,151;171;173;180;190;200;202;220;250
KL71,KL71 KOMERSIAL TAR,JLN TAR,3.161247553,101.6976137,151;171;173;180;190;200;202;220;250
KL35,KL35 MAJU JUNCTION,JLN TAR,3.159284497,101.6967226,151;171;200;250
KL36,KL36 KOMPLEKS PERTAMA,JLN TAR,3.157889,101.696133,151;171;173;180;200;202;220;250
KL37,KL37 GLOBE KL,JLN TAR,3.155153653,101.6964078,151;171;173;180;190;202;220;250
